,DETX,DETY,PI
0,6323.804063095406,1769.6184194481455,1468.001070132028
1,1593.32550381703,-9754.791603541971,8527.6425335452
2,-3952.704868199109,-770.9705066295207,6164.765482886605
3,3521.289584238375,2287.905992517315,2674.0472704047106
4,-14659.969510780256,3250.6031464981047,2162.0010067981784
5,12366.041908428362,-11546.865621593595,8284.001161585096
6,3699.3929754548944,-11468.60716330252,407.00106491244514
7,9589.607639662598,-5017.053140902508,2145.400009977752
8,-12616.041117227993,5765.4904790186765,9784.559956932962
9,14354.714432841456,-3914.994256743066,3397.000976741583
10,-3196.469598990686,15681.877475704692,6830.000928261317
11,6431.843099584832,-1135.984475258398,657.0756700998564
12,7795.40471143156,14142.384469335104,2411.1080632745643
13,6786.862937287203,2906.221267736575,4268.367681835224
14,721.067315196465,-2871.3414072168703,7682.415274680778
15,5065.042076705685,-7482.960760826835,9753.062041228291
16,-6053.310472652504,7279.995334586706,6412.432300090191
17,-2248.207757372313,1426.792882649291,2534.0009784721187
18,8984.138024051485,-5571.354641578424,2441.744798447565
19,-7923.416665915464,13841.731450769317,576.6872657420507
20,-245.2387545961694,16135.098470986084,1658.0009004272724
21,10970.377091459724,8788.07631725011,1055.484700400788
22,9740.002975860887,-9963.865354869149,11427.458999607954
23,13682.373492536322,-1919.071685384804,1457.0010101334483
24,12736.00387902875,-11383.41162336349,1584.001046614576
25,-4511.061784861179,-15563.43714165259,6502.001001486366
26,-7318.3896956087665,4818.317499721389,9555.13286115755
27,3309.711368171611,-9930.236096904702,6807.742620676367
28,4010.7188722924084,11662.980743800117,1485.340476833859
29,9336.252648601972,-3631.879037828133,2890.0009870269714
30,-10673.462079979092,-5792.131571462388,4053.928054499188
31,-9546.6469592997,-992.9631099849181,732.0010107960261
32,-12462.986157377163,5657.682915505987,2366.161206300661
33,-3566.4273267634485,526.866832924414,1460.000991024819
34,10932.000043770531,-8774.940640580191,8035.000991743349
35,-10662.412997769174,-4758.427491304655,4178.000968930393
36,195.45055502311345,-3902.766032012419,3572.0010001276387
37,2305.556305807294,1044.0535692012882,958.0010019783804
38,14799.388637637941,1975.8553924398575,8552.765811332909
39,2097.57119615655,-3560.9750614234968,2771.8072421362504
40,12280.863895738406,5701.338312491828,7249.5178311339105
41,-7081.040063987891,-4608.9999060085975,3526.000935451848
42,4600.40272611782,-14109.606399032598,3577.0010007958117
43,-12805.36906377001,-10975.831035676136,4328.000976782126
44,3293.275436768963,10389.02782962832,978.0010046510724
45,-15808.022106387827,-291.0818369115087,6699.810071539466
46,-5014.165432006234,3102.0477874659837,3158.001003331512
47,-2880.5237384839593,-2876.7707548095136,777.0009192619182
48,6251.897075813796,-14695.060197636081,2219.001033924884
49,7547.5336620415665,2860.00174303121,7892.218733819331
50,-600.2891557742322,13580.10430313455,5425.471264887153
51,-4222.818761855215,-7029.354938250239,5023.180520144986
52,7514.198505391634,10491.77001706818,4010.0009903762293
53,4776.347156218694,-4411.801424396916,5683.000950568225
54,1207.1177603460237,12058.704436960199,2089.0010165523854
55,-8026.161046484241,12031.243962314345,979.0010633133061
56,-848.3578491691552,-14792.233919636437,4622.000981929016
57,-12863.783147478107,7898.8909713254825,5442.349490830279
58,5888.121659240265,4472.643491339706,1265.0010625137365
59,10984.697960254902,-10374.652720201895,4424.2530357466885
60,-10760.399272152772,-3554.6799950955647,2331.8469610990323
61,4162.3386785731955,12480.410157962599,6837.000948706293
62,11276.30851127976,5686.300298730847,2136.0010423427448
63,8698.745198405313,12084.828947297061,4118.656966757106
64,1441.1454868906746,549.3842378870872,3544.001015895403
65,8271.657278349448,-12839.464027361053,2656.737659350923
66,6015.002177987202,-9498.474030439234,7288.9706135846845
67,11803.051182317075,-11891.452638122215,1631.0010724049353
68,-11111.648800306233,-1623.2507238408,3073.000991972571
69,13165.114148731347,502.5155828071628,689.000829463941
70,14728.76567723859,-3720.7978941273627,7242.000905280642
71,-8859.738633793546,-2318.2503851693027,345.0009395699017
72,5925.283681280072,-1603.0405427645394,6483.875347591308
73,12118.012156903573,8974.883955608711,882.8195061193504
74,9667.414425610965,4506.8880931219455,9031.695527678816
75,15858.149332410447,-6075.080789607661,568.0580495644048
76,-7349.228725851497,8366.416006563157,707.0011050028261
77,-4088.543860234236,-14532.450707469132,1475.0799431398375
78,10.89569072419257,11292.255797827027,1153.001125584793
79,-690.0413024647419,-17023.28779684625,547.0010836212896
80,-5464.322614560169,9828.48652007359,11398.466553140363
81,-3235.67370203884,7114.854297311941,4593.000975614921
82,12984.217095759033,453.31275697765363,937.0009406434547
83,-12662.46671478699,3025.7783241008906,1116.0009060354496
84,-8324.637753950032,116.84953749497237,5413.67406200873
85,8807.735886516912,14311.32442442534,6557.411021413581
86,-10109.55758128734,-10625.258545682935,1787.0010542328673
87,7579.666631367786,-4812.4434777320985,2322.954220091472
88,-6062.629655010663,-5907.536314932841,1026.0010891036654
89,-7470.531837060387,11431.768417674672,1481.0010523597448
90,-3275.4927664165584,-5471.184814350044,1548.000885727466
91,6496.890101700838,-7992.53065634357,1493.000975925228
92,3433.2152482972974,-11750.70179590397,2289.001043279306
93,5325.90416486142,-6288.404666688916,307.00105154898483
94,-691.5652973498892,15254.523549908808,9255.001154777565
95,14351.268741209047,1447.4357967536387,4770.656728752611
96,11390.00005032611,9426.448846292067,7826.998597040946
97,-11747.98854637614,-107.32703668166187,11058.1235769237
98,4749.087149090727,-13350.755948432827,2025.0009689807048
99,10130.608905489196,-3641.000428196043,2377.000937981953
100,5633.426350706778,2203.0318709705302,613.3976118856108
101,4249.123559876995,7708.067364903819,346.0009982321353
102,-7236.121908126037,7042.9769775286,8169.593547213845
103,16079.207363647665,-2981.724732539051,1476.0009541439067
104,10272.512121393695,-3539.3660797735,6177.365884715897
105,-9767.791710950587,-204.6749725700969,1533.000981270612
106,8958.562324838726,1411.7291394347324,8293.975340746654
107,-6518.146314103669,-10447.287241308415,2710.701886515476
108,6914.003197235884,1186.690761132862,4358.000980791164
109,-12020.738307963271,-7419.50394008653,2523.139377714265
110,15036.231754219669,4747.892100387434,873.0010881671042
111,-4470.925381348133,-3971.459814582686,7974.682469273338
112,11959.844239500942,-4656.4846487983295,1016.0008926719893
113,3283.7811911402664,-11347.640505169602,4566.00097688417
114,-16448.62059984365,1936.7051381058197,4245.0009730065285
115,6816.955670921219,-5649.2789158995865,316.0007991277671
116,-557.4760141210061,-7651.625116844129,5895.0009984082935
117,275.1742470877178,-895.1657259049485,8327.940944705837
118,-2930.520586194441,-2609.217406717634,7904.001110803947
119,-251.7448964240783,3006.571898098233,3183.0221045143967
120,4215.200155789871,16449.009091147112,11842.67862119077
121,3574.000003081397,6922.153569584126,11818.342822109558
122,-4505.667919952769,2547.004178231854,5712.613502655519
123,14748.701309845852,3752.8043726978735,11237.454226301987
124,4922.967717117848,8101.598458010454,1067.0011531112832
125,-6478.917065992535,8530.578644109184,11751.095687182613
126,-2925.1072531512,6060.862294917474,2738.001044752644
127,402.56326425301626,13749.730064315892,8683.613500961757
128,5655.892937309664,8012.308553443849,5907.118277510516
129,-5419.225022666141,13065.08424536685,5975.947390899855
130,-9554.576474611255,10256.163885794964,5029.000970473626
131,9833.190256974904,-9374.236995321888,10987.964351993434
132,11794.493708226997,7248.824901455218,7237.66143179764
133,8606.386927117459,-3478.199332297289,8007.149485721242
134,2887.5453609268848,8398.456558868436,998.7277515144193
135,5003.320719343571,1333.157908845745,4926.000976218795
136,4119.590870902555,8251.252502208517,1795.4992968961212
137,9544.000054063858,-4879.578987161354,2967.001016826369
138,-12010.993098172477,9539.798392009383,2701.0010202986305
139,301.85071355063604,-799.5575957850508,2442.969227511821
140,-5417.643161423186,765.9997638855712,648.0011556469835
141,-9879.464938103058,-6061.253477231903,2009.0010058616172
142,3523.0164016170324,-14228.95414139891,5736.370644812059
143,8736.244232389245,7791.1900673502505,2020.0010658601968
144,-12532.963124006354,3310.3301440176842,4918.152775229861
145,-7272.610245771055,-2491.2306507743087,8299.090263990587
146,4616.999744411965,-2790.6889471421528,357.00086313538486
147,-342.99993961356085,16156.485149543943,10553.968378000402
148,3230.469491607622,-9982.90871057222,322.00115110116894
149,-4811.006393014373,1337.3982398625926,11473.062764806518
150,4119.566482091302,-3636.8655642726444,4212.8376569541615
151,-6815.925988741081,-4380.306068402724,4300.000980356432
152,-13522.644787467434,1170.9296831521203,10906.941661599121
153,4597.756238736612,-8856.333513158239,11393.525212735192
154,13778.26274550131,632.3557822474522,5789.384201451597
155,-3686.5136078236587,-12962.464016344707,6141.7913936955065
156,15356.928370257428,5046.659977750969,8873.867656677878
157,9688.01722804373,-6414.550554926206,1044.0009744518902
158,-2359.065381542921,-13754.089124040724,1025.0010304414318
159,-4035.373682173742,-5593.111488801711,8184.295764030267
160,-13743.336216917025,-1677.0015664194625,11567.016664704188
161,-3298.0699720383454,14193.309570098929,1746.8844595048142
162,-9248.81911992102,3844.2976725827943,5894.00093974606
163,5628.967460457649,11448.938760205818,2740.000966981781
164,-3464.999980260938,2661.619431596043,1527.0010194878705
165,-825.6664578475187,15148.55062325294,9958.923891861563
166,12619.30342144686,-1192.0935587740614,3381.1834951634996
167,1090.7291216981805,4257.907499987651,1095.0008447005239
168,1087.269162680881,15408.670187411753,1379.0009216718172
169,-3048.5731736597195,14452.51164216473,3380.000954960262
170,-1521.5642706315475,2572.2025674906918,2096.4563874337664
171,-13988.11571488121,-12.291949747000274,1282.0008891997277
172,6550.748108922392,12403.361154106608,2272.0010214979848
173,1025.59238514596,874.9997600551578,1486.0009554802527
174,-9486.600001392473,7197.375928860116,8676.319912312647
175,-9088.249654363652,-9699.029486067106,1045.0010331141239
